ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance_km,Prep_time_min,Order_hour,Order_period,Order_dayofweek,Is_weekend
0x5c4f,CHENRES18DEL01,32.0,4.1,12.981615,80.231598,13.091615,80.341598,2022-03-04,19:10,19:15,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,38,17.076407856166536,5.0,19,Evening,4,0
0xd2c5,LUDHRES20DEL01,34.0,4.9,30.885915,75.788259,30.895915,75.798259,2022-02-15,12:00,12:05,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,29,1.4652500694886232,5.0,12,Afternoon,1,0
0x8117,INDORES09DEL03,34.0,4.7,22.725835,75.887648,22.785835,75.947648,2022-03-01,21:45,21:55,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,9.075423573606574,10.0,21,Night,1,0
0x715d,BANGRES05DEL01,28.0,4.8,12.970324,77.645748,12.980324,77.655748,2022-03-13,08:15,08:25,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,19,1.5525876685610625,10.0,8,Morning,6,1
0xd340,KNPRES19DEL01,30.0,3.7,26.49095,80.318656,26.56095,80.388656,2022-02-14,20:30,20:35,Windy,Jam,2,Snack,scooter,2.0,No,Metropolitian,43,10.444437629135967,5.0,20,Night,0,0
0x9f4,MUMRES01DEL01,37.0,4.5,19.12663,72.829976,19.19663,72.899976,2022-03-04,23:25,23:35,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,31,10.707144604562082,10.0,23,Night,4,0
0xb6c5,CHENRES16DEL02,27.0,4.8,13.049645,80.242268,13.179645,80.372268,2022-03-12,20:25,20:40,Sunny,Jam,2,Meal,motorcycle,1.0,No,Urban,14,20.178100872931342,15.0,20,Night,5,1
0x42e4,JAPRES02DEL01,29.0,4.7,26.914142,75.805704,26.984142,75.875704,2022-03-20,23:15,23:25,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,17,10.427208660422918,10.0,23,Night,6,1
0x33d6,RANCHIRES08DEL01,38.0,4.9,23.353783,85.326967,23.423783,85.396967,2022-03-12,18:25,18:40,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,10.565179206181444,15.0,18,Evening,5,1
0x7c03,MYSRES16DEL03,27.0,4.5,12.316967,76.603067,12.376967,76.663067,2022-03-21,21:35,21:40,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,9.326725258722023,5.0,21,Night,0,0
0x6530,SURRES09DEL01,39.0,4.6,21.175975,72.795503,21.245975,72.865503,2022-03-02,23:10,23:25,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,10.641407763221139,15.0,23,Night,2,0
0x2dfa,JAPRES11DEL03,35.0,4.7,26.90294,75.793007,27.04294,75.933007,2022-03-16,19:25,19:35,Fog,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,37,20.85246332426527,10.0,19,Evening,2,0
0x1f79,MUMRES06DEL01,22.0,4.9,19.055831,72.833984,19.165831,72.943984,2022-03-02,23:20,23:35,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,16.827953238536708,15.0,23,Night,2,0
0x83da,COIMBRES03DEL01,25.0,4.7,11.025083,77.015393,11.035083,77.025393,2022-03-13,08:55,09:05,Sunny,Low,0,Drinks,motorcycle,1.0,No,Unknown,17,1.5580766213086716,10.0,8,Morning,6,1
0x9e78,SURRES12DEL02,26.0,4.0,21.183434,72.814492,21.313434,72.944492,2022-03-04,19:25,19:30,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,32,19.76027880154466,5.0,19,Evening,4,0
0x25c6,PUNERES13DEL01,38.0,4.6,18.56245,73.916619,18.57245,73.926619,2022-03-21,08:15,08:30,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,19,1.5321547990764786,15.0,8,Morning,0,0
0x4531,INDORES09DEL01,31.0,4.7,22.725835,75.887648,22.765835,75.927648,2022-03-13,14:10,14:20,Windy,High,0,Snack,motorcycle,3.0,Yes,Semi-Urban,49,6.050486021641428,10.0,14,Afternoon,6,1
0x608b,PUNERES16DEL02,37.0,4.9,18.536718,73.830327,18.616719,73.910327,2022-03-20,17:30,17:35,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,12.25700312192057,5.0,17,Evening,6,1
0xaf42,HYDRES08DEL03,20.0,4.8,17.438263,78.397865,17.528263,78.487865,2022-03-25,17:30,17:40,Sunny,Medium,2,Meal,scooter,0.0,No,Urban,12,13.82977049957229,10.0,17,Evening,4,0
0x7976,PUNERES14DEL03,29.0,4.6,18.516216,73.842527,18.606216,73.932527,2022-03-12,17:30,17:35,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,40,13.789630729980562,5.0,17,Evening,5,1
0x1ad5,HYDRES14DEL03,30.0,4.9,17.426228,78.407495,17.486228,78.467495,2022-04-05,20:15,20:25,Windy,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,27,9.220499640905741,10.0,20,Night,1,0
0x4f05,MYSRES13DEL02,33.0,4.9,12.310972,76.659264,12.390972,76.739264,2022-04-02,23:45,00:00,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,26,12.435540495461442,15.0,23,Night,5,1
0x4f91,RANCHIRES06DEL03,22.0,4.7,23.357804,85.325146,23.417804,85.385146,2022-03-13,23:40,23:50,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,14,9.055898607912091,10.0,23,Night,6,1
0x38fb,COIMBRES06DEL02,30.0,4.8,11.021278,76.995017,11.101278,77.075017,2022-03-14,23:25,23:35,Stormy,Low,2,Meal,scooter,1.0,No,Urban,25,12.463962426993913,10.0,23,Night,0,0
0x74c2,INDORES19DEL03,28.0,4.9,22.745536,75.893106,22.775536,75.923106,2022-03-15,18:50,18:55,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,19,4.537640130462668,5.0,18,Evening,1,0
0xd7d6,GOARES01DEL02,27.0,4.8,15.576683,73.75575,15.626683,73.80575,2022-02-17,22:40,22:55,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,17,7.7191763867423395,15.0,22,Night,3,0
0x3974,PUNERES13DEL01,21.0,4.8,18.56245,73.916619,18.63245,73.986619,2022-04-04,20:00,20:15,Fog,Jam,2,Snack,scooter,0.0,No,Metropolitian,31,10.724189700859583,15.0,20,Night,0,0
0xbe03,COIMBRES01DEL01,20.0,4.1,11.016298,76.972076,11.086298,77.042076,2022-04-06,19:15,19:20,Fog,Jam,2,Drinks,motorcycle,1.0,No,Urban,42,10.906149360969733,5.0,19,Evening,2,0
0x67b5,RANCHIRES07DEL03,37.0,4.9,23.359407,85.325055,23.419407,85.385055,2022-03-21,23:35,23:50,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,9.055848504226429,15.0,23,Night,0,0
0x8e31,PUNERES13DEL01,25.0,4.7,18.56245,73.916619,18.60245,73.956619,2022-04-03,12:45,13:00,Sandstorms,High,2,Drinks,scooter,0.0,No,Urban,17,6.128363939648455,15.0,12,Afternoon,6,1
0x3f7a,COIMBRES09DEL01,38.0,4.0,11.008638,76.984311,11.078638,77.054311,2022-03-12,20:10,20:25,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,46,10.90628903651029,15.0,20,Night,5,1
0x1d1c,HYDRES02DEL02,22.0,4.5,17.41233,78.449654,17.49233,78.529654,2022-03-31,22:35,22:50,Windy,Low,1,Snack,scooter,1.0,No,Urban,11,12.294124530423586,15.0,22,Night,3,0
0xcfaa,DEHRES14DEL02,39.0,4.7,30.319528,78.040267,30.339528,78.060267,2022-02-11,09:45,09:55,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,2.9377377563016864,10.0,9,Morning,4,0
0x9de5,SURRES17DEL01,24.0,4.9,21.149569,72.772697,21.159569,72.782697,2022-03-26,10:10,10:25,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,16,1.5204709334108633,15.0,10,Morning,5,1
0x4831,MUMRES18DEL03,31.0,4.8,19.1093,72.825451,19.1393,72.855451,2022-03-15,19:40,19:45,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Urban,27,4.589265860691712,5.0,19,Evening,1,0
0x5d4c,INDORES18DEL01,34.0,5.0,22.753839,75.897429,22.863838,76.007429,2022-04-04,23:15,23:30,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,16.635223376953338,15.0,23,Night,0,0
0x454b,VADRES01DEL03,30.0,4.0,22.307898,73.167788,22.367898,73.227788,2022-03-05,20:10,20:25,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,9.088084092164259,15.0,20,Night,5,1
0xaba4,PUNERES11DEL02,39.0,4.8,18.533811,73.899315,18.613811,73.979315,2022-03-27,23:20,23:35,Windy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,15,12.257021346006622,15.0,23,Night,6,1
0x6b6b,INDORES18DEL01,28.0,4.4,22.753839,75.897429,22.763838,75.907429,2022-03-24,08:50,09:00,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,23,1.5124736191451338,10.0,8,Morning,3,0
0x24ab,CHENRES010DEL03,24.0,4.9,13.066762,80.251865,13.156762,80.341865,2022-03-06,21:35,21:40,Stormy,Jam,1,Meal,scooter,0.0,No,Metropolitian,23,13.969535082204027,5.0,21,Night,6,1
0xc287,BHPRES20DEL01,22.0,4.9,23.235123,77.398886,23.245123,77.408886,2022-02-15,08:50,09:00,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,1.5100837271229477,10.0,8,Morning,1,0
0xb0f4,COIMBRES01DEL01,39.0,3.6,11.016298,76.972076,11.126298,77.082076,2022-03-18,22:15,22:25,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,35,17.137660049154135,10.0,22,Night,4,0
0x90fa,MUMRES19DEL01,29.0,4.0,19.131141,72.813074,19.241141,72.923074,2022-03-27,19:15,19:30,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,42,16.824331819052116,15.0,19,Evening,6,1
0x2c21,CHENRES12DEL02,39.0,4.2,12.972793,80.249982,13.052793,80.329982,2022-03-16,20:55,21:10,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,12.419787919082209,15.0,20,Night,2,0
0xa7e7,CHENRES15DEL02,33.0,4.9,13.026286,80.275235,13.076286,80.325235,2022-03-15,22:25,22:30,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,7.761779919073713,5.0,22,Night,1,0
0x4452,RANCHIRES18DEL02,38.0,4.3,23.351489,85.324253,23.401489,85.374253,2022-03-07,22:40,22:55,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,7.546876906900249,15.0,22,Night,0,0
0x5c39,MUMRES06DEL02,31.0,4.3,19.055831,72.833984,19.185831,72.963984,2022-03-27,20:25,20:40,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,35,19.88701283582688,15.0,20,Night,6,1
0x4189,MUMRES07DEL01,29.0,4.4,19.091458,72.827808,19.101458,72.837808,2022-03-30,08:35,08:40,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,1.5298767913547429,5.0,8,Morning,2,0
0xd9c1,ALHRES01DEL03,39.0,4.7,25.454648,81.834502,25.514648,81.894502,2022-02-17,20:45,20:50,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,8.987911213313863,5.0,20,Night,3,0
0x7dd2,PUNERES16DEL02,20.0,4.9,18.536718,73.830327,18.666719,73.960327,2022-03-16,20:45,21:00,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,25,19.916194656540203,15.0,20,Night,2,0
0xb46e,MYSRES11DEL01,21.0,5.0,12.323225,76.630028,12.333225,76.640028,2022-03-09,08:10,08:25,Sandstorms,Low,2,Snack,scooter,1.0,No,Urban,18,1.554508559519504,15.0,8,Morning,2,0
0xa3df,MYSRES010DEL02,20.0,4.5,12.321214,76.621094,12.341214,76.641094,2022-03-19,08:35,08:45,Fog,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,17,3.1089998000385433,10.0,8,Morning,5,1
0x6455,INDORES04DEL01,37.0,4.3,22.753659,75.903365,22.763659,75.913365,2022-03-28,09:20,09:30,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,1.5125562753617192,10.0,9,Morning,0,0
0x5c21,COIMBRES09DEL03,20.0,4.9,11.008638,76.984311,11.068638,77.044311,2022-03-19,17:40,17:50,Fog,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,9.348325936764454,10.0,17,Evening,5,1
0x52e9,RANCHIRES04DEL01,26.0,4.8,23.359033,85.325347,23.429033,85.395347,2022-03-27,17:40,17:45,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,39,10.564987742503256,5.0,17,Evening,6,1
0x7fcf,HYDRES12DEL03,33.0,4.8,17.429585,78.392621,17.519585,78.482621,2022-03-12,17:50,18:05,Cloudy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,37,13.830084721845328,15.0,17,Evening,5,1
0x2609,JAPRES04DEL03,39.0,4.6,26.902328,75.794257,27.042328,75.934257,2022-03-04,17:40,17:45,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,42,20.852513503426962,5.0,17,Evening,4,0
0x44df,PUNERES03DEL02,37.0,4.5,18.554382,73.798206,18.684382,73.928206,2022-04-04,21:35,21:40,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,15,19.915135664660593,5.0,21,Night,0,0
0x8af8,PUNERES16DEL03,27.0,4.8,18.536718,73.830327,18.626718,73.920327,2022-03-06,18:15,18:20,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,41,13.7888461168452,5.0,18,Evening,6,1
0xca11,LUDHRES11DEL02,24.0,4.8,30.893081,75.821495,30.973081,75.901495,2022-02-16,19:50,19:55,Cloudy,Jam,1,Buffet,scooter,1.0,Yes,Metropolitian,43,11.71980974006041,5.0,19,Evening,2,0
0x64bb,VADRES19DEL02,28.0,5.0,22.311844,73.165081,22.331844,73.185081,2022-03-05,10:15,10:25,Windy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,10,3.0295222215900934,10.0,10,Morning,5,1
0x6d3,PUNERES15DEL01,25.0,4.7,18.636215,73.751081,18.706215,73.821081,2022-03-06,21:30,21:35,Windy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,38,10.721987300671117,5.0,21,Night,6,1
0x89bf,HYDRES08DEL01,32.0,3.5,17.438263,78.397865,17.548263,78.507865,2022-03-10,22:15,22:25,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,32,16.902609492881677,10.0,22,Night,3,0
0xad89,HYDRES11DEL01,23.0,3.6,17.430448,78.418213,17.470448,78.458213,2022-03-07,14:40,14:45,Sunny,High,0,Drinks,motorcycle,1.0,No,Metropolitian,54,6.147092755626801,5.0,14,Afternoon,0,0
0xd222,KNPRES03DEL03,39.0,4.6,26.469003,80.316344,26.559003,80.406344,2022-02-16,17:45,17:50,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,30,13.429183489869182,5.0,17,Evening,2,0
0x9f30,PUNERES15DEL03,29.0,5.0,18.636215,73.751081,18.666215,73.781081,2022-03-11,19:55,20:05,Cloudy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,4.595393825646015,10.0,19,Evening,4,0
0x33ef,COIMBRES010DEL03,36.0,4.6,11.003008,76.97544,11.063009,77.03544,2022-03-11,19:50,20:05,Sandstorms,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,44,9.348493190107364,15.0,19,Evening,4,0
0x6fae,INDORES17DEL03,25.0,4.8,22.761226,75.887522,22.791226,75.917522,2022-04-03,21:55,22:10,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,4.537400479091801,15.0,21,Night,6,1
0x170c,COIMBRES010DEL03,27.0,2.9,11.003008,76.97544,11.093008,77.06544,2022-03-04,22:25,22:30,Sunny,Low,2,Drinks,motorcycle,2.0,Yes,Metropolitian,42,14.022268860182423,5.0,22,Night,4,0
0x1246,BANGRES14DEL01,24.0,4.9,12.949934,77.699386,13.019934,77.769386,2022-03-04,17:55,18:10,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,23,10.867908640310418,15.0,17,Evening,4,0
0x24ce,INDORES19DEL02,23.0,4.6,22.745536,75.893106,22.825536,75.973106,2022-03-14,20:25,20:40,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,46,12.099354574706966,15.0,20,Night,0,0
0xa55d,BANGRES19DEL01,36.0,4.6,12.914264,77.6784,12.954264,77.7184,2022-03-13,14:45,14:55,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,26,6.210849324534313,10.0,14,Afternoon,6,1
0x7cc4,MYSRES08DEL03,33.0,4.1,12.297954,76.665169,12.387954,76.755169,2022-03-23,18:30,18:40,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,39,13.990192142064847,10.0,18,Evening,2,0
0x1a96,JAPRES09DEL03,32.0,4.6,26.911378,75.789034,27.051378,75.929034,2022-03-25,20:25,20:35,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,20.851771383105145,10.0,20,Night,4,0
0x8f0e,COIMBRES01DEL02,21.0,4.6,11.016298,76.972076,11.146298,77.102076,2022-03-04,23:45,00:00,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20.253258047708663,15.0,23,Night,4,0
0x35d6,VADRES03DEL03,35.0,4.6,22.32,73.17,22.38,73.23,2022-03-05,22:40,22:55,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,28,9.087720328091445,15.0,22,Night,5,1
0xcebc,DEHRES04DEL01,35.0,4.2,30.340722,78.060221,30.410722,78.130221,2022-02-16,23:55,00:05,Cloudy,Low,0,Snack,motorcycle,2.0,No,Metropolitian,37,10.280009835772024,10.0,23,Night,2,0
0x162d,COIMBRES19DEL01,39.0,5.0,11.022298,76.998349,11.132298,77.108349,2022-03-16,21:20,21:25,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,44,17.137487720369517,5.0,21,Night,2,0
0x1ed1,JAPRES18DEL01,30.0,4.7,26.913987,75.752891,27.023987,75.862891,2022-03-27,20:35,20:45,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,16.384334344092046,10.0,20,Night,6,1
0xc282,BHPRES13DEL03,39.0,4.3,23.230791,77.43702,23.290791,77.49702,2022-02-15,21:45,22:00,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,9.059859285712854,15.0,21,Night,1,0
0xb9ac,VADRES01DEL03,31.0,4.7,22.307898,73.167788,22.337898,73.197788,2022-03-26,22:30,22:45,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25,4.544267482984226,15.0,22,Night,5,1
0xb411,CHENRES11DEL02,30.0,3.9,13.064181,80.236442,13.194181,80.366442,2022-03-06,18:45,19:00,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,34,20.177519993018656,15.0,18,Evening,6,1
0x6025,MUMRES16DEL01,23.0,4.8,19.120083,72.907385,19.130083,72.917385,2022-04-03,09:30,09:35,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,1.529751878579505,5.0,9,Morning,6,1
0xb89a,JAPRES12DEL01,26.0,4.5,26.902908,75.792934,27.012908,75.902934,2022-03-10,23:10,23:15,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Unknown,20,16.385047886584577,5.0,23,Night,3,0
0xc9c0,AURGRES04DEL02,29.0,4.4,19.876106,75.340775,19.956106,75.420775,2022-02-18,21:45,22:00,Cloudy,Jam,2,Buffet,scooter,1.0,No,Unknown,36,12.20986822612317,15.0,21,Night,4,0
0x3d62,RANCHIRES08DEL01,26.0,4.9,23.353783,85.326967,23.363783,85.336967,2022-03-24,11:55,12:10,Stormy,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,16,1.509467584367178,15.0,11,Afternoon,3,0
0x74f4,SURRES16DEL01,20.0,4.9,21.160437,72.774209,21.170437,72.784209,2022-04-05,11:15,11:30,Stormy,High,2,Snack,motorcycle,0.0,No,Metropolitian,18,1.5204190072774333,15.0,11,Afternoon,1,0
